type;lat;lon;address;n;services;fuel;region
1;46.313956;44.301734;Республика Калмыкия, город Элиста, Восточная промзона, 3 проезд;390;wc, mag, cafe;dt, ai95, ai92;22
1;46.312882;44.217276;Республика Калмыкия, город Элиста, улица В.И. Ленина, 8, стр. 5;391;mag, cafe;dt, ai95, ai92, sg;22
1;46.372067;44.265594;Республика Калмыкия, город Элиста, автодорога М-6 Каспий, 8 км, +125 м слева;392;wc, cafe, mag;dt, ai95, ai92, sg;22
1;54.54795;36.28408;Калужская область, город Калуга, улица 8 Марта, 2, корпоселок1;250; ;dt, ai95, ai92;2
1;54.58404;36.25236;Калужская область, город Калуга, улица Московская, 338;251;wc, mag, pum, cls;dt, ai95, ai92;2
1;54.559952;36.247419;Калужская область, город Калуга, улица Железняки, 40 А;253;wc, mag, cafe;dt, ai95, ai92;2
3;54.51439;36.35884;Калужская область, город Калуга,  улица Советская, 107;4001;;dt, ai95, ai92;2
3;54.5637;36.24411;Калужская область, город Калуга,  улица Гурьянова, 5;4002;;dt, ai95, ai92;2
3;54.55013;36.33714;Калужская область, город Калуга,  Грабцевское шоссе,  поворот на Кукареки;4003;;dt, ai95, ai92;2
3;54.49493;36.22795;Калужская область, город Калуга,  Правобережный проезд ;4004;;dt, ai95, ai92;2
3;54.54603;36.28279;Калужская область, город Калуга, улица Путейская, правее д. 12;4005;;dt, ai95, ai92;2
3;54.57076;36.25567;Калужская область, город Калуга, улица Московская, 328;4006;;dt, ai95, ai92;2
3;54.56519609146511;36.220028605079605;Калужская область, город Калуга, улица Гурьянова, поворот на д. Белая ;4007;;dt, ai95, ai92;2
2;46.284352;39.829511;Краснодарский край, Крыловский р-он, ст. Октябрьская, ФАД М-4 Дон, 1178 км,  + 480 м слева;145;wc, mag, pum, cls;dt, ai98, ai95, ai92;1
1;46.667543;38.289081;Краснодарский край, Ейский район, город Ейск, улица Щорса 55/2, улица Мичурина, 33;146;wc, mag, pum, cls;dt, ai95, ai92;1
2;45.220795;39.682553;Краснодарский край, Усть-Лабинский район, город Усть-Лабинск, улица Заполотняная, 2;147;pum;dt,  ai95, ai92;1
1;46.688277;38.264161;Краснодарский край, Ейский район, город Ейск, улица Армавирская, 202;148;wc, pum, cls;dt, ai95, ai92;1
2;46.346031;39.374281;Краснодарский край, Ленинградский район, ст. Ленинградская, улица Придорожная, 3;149;wc, mag, pum, cls;dt, ai95, ai92;1
2;46.654989;38.377283;Краснодарский край, Ейский район, село Александровка, автодорога Краснодар-Ейск, 228 км, + 700 м;186;wc, mag, pum, cls;dt, ai95, ai92;1
1;46.679451;38.295891;Краснодарский край, город Ейск, улица Коммунистическая, 77Д;187; pum;dt, ai95, ai92;1
1;46.684658;38.265681;Краснодарский край, город Ейск, улица Б. Хмельницкого, 232/1;188;wc, pum;dt, ai95, ai92;1
2;44.301933;38.713259;Краснодарский край, Туапсинский район, поселок Джубга, улица Новороссийское шоссе, 114/1;189;wc, mag, cafe, glass;dt, ai95, ai92;1
1;45.867632;40.102536;Краснодарский край, город Тихорецк, улица Меньшикова, 234/1;190;wc, glass, pum, cls;dt, ai95, ai92;1
2;45.984357;39.733944;Краснодарский край, Павловский район, ФАД М-4 Дон, 1215 км, + 400 м ;191;wc;dt, ai95, ai92;1
1;46.12334;39.786805;Краснодарский край, ст. Павловская, ул. Советская, 52;192;wc;dt, ai95, ai92;1
1;45.095761;39.386115;Краснодарский край, Динской район, ст. Васюринская, трасса Краснодар-Кропоткин;193;wc, mag;dt, ai95, ai92;1
2;45.174913;37.275581;Краснодарский край, Темрюкский район, х. Белый, автодорога Новороссийск - Керченский пролив, 80 км;194;wc;dt, ai95, ai92;1
2;45.195012;37.671883;Краснодарский край, Темрюкский район, поселок Красный Октябрь, автодорога Темрюк-Краснодар-Кропоткин, 26 км,  + 350 м справа;195;wc;dt, ai95, ai92;1
1;45.841298;40.14385;Краснодарский край, город Тихорецк, улица Профильная, 2 А;196;wc;dt, ai95, ai92;1
1;45.070228;38.904873;Краснодарский край, город Краснодар, Прикубанский район, улица Красных Партизан, 2/5;197;wc ;dt, ai95, ai92;1
2;45.684882;39.606228;Краснодарский край, Выселковый район, южнее ст. Березанской, ФАД М-4 Дон, 1247 км,  + 980 м справа;198;wc, mag;dt, ai95, ai92;1
2;45.454343;40.523938;Краснодарский край, город Кропоткин, улица Федеральная,  35, трасса Павловская - Махачкала 100 км   ;199;wc, mag, pum, cls, glass;dt, ai95, ai92;1
2;44.903904;37.582641;Краснодарский край, город Новороссийск, Приморский округ, ст. Натухаевская, Азово-Черноморская автодорога, 343 км;200;wc;dt, ai95, ai92;1
1;45.607058;38.98402;Краснодарский край, город Тимашевск, автодорога Краснодар-Ейск, 61 км, +500 м;201;wc, mag, cafe, pum, cls;dt, ai95, ai92, ai98;1
2;46.141857;39.852412;Краснодарский край, Павловский район, с-ца Павловская, ФАД  М-4 Дон, 1193 км, + 700 м;202;wc, mag, cafe, pum, cls, shower;dt, ai98, ai95, ai92, sg;1
2;44.857998;38.200536;Краснодарский край, Абинский район, автодорога Краснодар - Новороссийск, 88 км, + 900 м слева ;203;wc, mag, cafe, glass, pum, cls;dt, ai98, ai95, ai92, sg;1
1;45.238102;39.012408;Краснодарский край, Динской район, ст. Новотитаровская, улица Луначарского, 1 А;204;wc, mag, glass, pum, cls;dt, ai95, ai92, sg;1
2;44.655367;39.156078;Краснодарский край, город Горячий ключ, автодорога М-4 Дон, 1385 км,  + 45 м слева;205;wc, mag, cafe, glass, pum, cls, shower;dt, ai98, ai95, ai92, sg;1
1;46.050979;38.222111;Краснодарский край, город Приморско-Ахтарск, улица Фестивальная, 67;206;wc, glass, pum, cls;dt, ai98, ai95, ai92, sg;1
1;44.77166;39.908288;Краснодарский край, город Белореченск, автодорога Майкоп-Усть-Лабинск-Кореновск, 24 км, +800 м слева;207;wc, mag, cafe,;dt, ai98, ai95, ai92, sg;1
